latitude,longitude,start_time,stop_time,all_day,city_name,region_name,postal_code,calendar_count,comment_count,geocode_type,venue_url,venue_name,title,description,url
35.661489,139.7271382,2019-06-01 00:00:00,None,2,Tokyo,Tokyo,106-0031,None,None,EVDB Geocoder,http://eventful.com/tokyo/venues/ex-theater-roppongi-/V0-001-008070390-4?utm_source=apis&utm_medium=apim&utm_campaign=apic,EX Theater Roppongi,Blue Man Group,None,http://eventful.com/tokyo/events/blue-man-group-/E0-001-118804520-0@2019060100?utm_source=apis&utm_medium=apim&utm_campaign=apic
35.67,139.77,2019-06-01 11:00:00,2019-06-01 21:00:00,0,Tokyo,Tokyo,160-0021,None,None,City Based GeoCodes,http://eventful.com/tokyo/venues/shinjuku-cine-city-square-/V0-001-012251854-3?utm_source=apis&utm_medium=apim&utm_campaign=apic,Shinjuku Cine city Square,AFRO- AMERICAN- CARIBBEAN  GOLDEN WEEK FOOD FESTA & GRAND PRIX BEAUTY CONTEST 2018,AFRO- AMERICAN- CARIBBEAN  GOLDEN WEEK FOOD FESTA & GRAND PRIX BEAUTY CONTEST 2018
DATE    ： April 28th (sat)   ~ May 06th(sun)      
LOCATION  ：@AFRO- AMERICAN- CARIBBEAN  GOLDEN WEEK FOOD FESTA & GRAND PRIX BEAUTY CONTEST 2018
 Shinjuku Cine city Square 11:00 - 21:00 (1 Chome-19 Kabukichō, Shinjuku-ku)          ENTRANCE  : FREE     
（９days）to enjoy our delicious food and drink - beer - market - stage& live music - dance show - salsa show - samba brasil - african drum - hair making corner - coffee - market - dance - fashion show will take place on this day. All age of people can enjoy and exciting in this Event, so everyone is invited.

  アフロ・アメリカン・カリブゴールデンウィークフードフェスタ・グランプリ－コンテスト2018
開催日時  ：2018年4月28日（土）～５月６日（日）　1１:00〜2１:00
会場  ：歌舞伎町シネシティ広場 （新宿区歌舞伎町1丁目19番先）
入場料 ：無料    （９日間）
アフリカ・アメリカ・カリブの 食べ物と飲み物・ビール・コーヒー・マーケット・
編みこみヘアスタイルメキングコーナー・ライブステージ・ダンスショー・サンバブラジルダンスショー・ファッションショーなどを楽しむために 9 日間はこの日に行われます。 このイベントでは、すべての年齢層が楽しんでエキサイティングなので、みんなが楽しめます。,http://eventful.com/tokyo/events/afro-american-caribbean-golden-/E0-001-110648991-2@2019060111?utm_source=apis&utm_medium=apim&utm_campaign=apic
